?OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93121","2","1","Bauro Tamuera","",KIR,"3204.724","0","34942.55","0","0",Bot,"Bot8096","1206","Gold 3","1216","Gold 3","","","",""
"93121","2","2","Graham Erskine","Aguda",SCO,"3205.488","0.763","34942.55","0","0",Bot,"Bot5033","1190","Gold 2","1211","Gold 3","","","",""
"93121","2","3","Xander Fontaine","",BEL,"3206.23","1.506","34942.55","0","0",Bot,"Bot8697","1219","Gold 3","1229","Gold 3","","","",""
"93121","2","4","Scott Wright","",CAN,"3209.453","4.728","34942.55","0","0",Bot,"Bot976","1158","Gold 2","1190","Gold 2","","","",""
"93121","2","5","Hank Ross","",GBR,"3217.717","12.993","34942.55","0","0",Bot,"Bot4944","1197","Gold 2","1201","Gold 3","","","",""
"93121","2","6","Wayne Marshall","Roklit",CAN,"3348.485","143.761","34942.55","0","0",Bot,"Bot5812","1075","Gold 1","1087","Gold 1","","","",""
"93121","2","7","Bojidar Yankov","",BUL,"3372.973","168.249","34942.55","0","0",Bot,"Bot4643","1207","Gold 3","1193","Gold 2","","","",""
"93121","2","8","Haruki Wada","",JPN,"3430.963","226.239","34942.55","0","0",Bot,"Bot8346","1089","Gold 1","1081","Gold 1","","","",""
"93121","2","9","Sheikh Nair","",UAE,"3432.733","228.009","34942.55","0","0",Bot,"Bot8764","912","Silver 3","936","Silver 3","","","",""
"93121","2","10","Benard Munene","",KEN,"3438.226","233.501","34942.55","0","0",Bot,"Bot4265","1053","Gold 1","1033","Gold 1","","","",""
"93121","2","11","Aina Chai","",MAS,"3439.466","234.741","34942.55","0","0",Bot,"Bot4480","1076","Gold 1","1055","Gold 1","","","",""
"93121","2","12","Danylo Semenyuk","Delta",UKR,"3449.715","244.99","34942.55","0","0",Bot,"Bot1521","1003","Gold 1","989","Silver 3","","","",""
"93121","2","13","Nicolas Pires","",BRA,"3459.454","254.729","34942.55","0","0",Bot,"Bot3347","888","Silver 2","888","Silver 2","","","",""
"93121","2","14","Rapha?l Bruni","",MON,"3468.728","264.003","34942.55","0","0",Bot,"Bot2682","956","Silver 3","988","Silver 3","","","",""
"93121","2","15","Ane Boesen","",DEN,"3491.987","287.262","34942.55","0","0",Bot,"Bot8957","1102","Gold 2","1093","Gold 1","","","",""
"93121","2","16","Dilan Contreras","",COL,"3523.234","318.51","34942.55","0","0",Bot,"Bot8855","1091","Gold 1","1111","Gold 2","","","",""
"93121","2","17","Rita Joshi","",NEP,"3524.704","319.979","34942.55","0","0",Bot,"Bot8192","828","Silver 2","834","Silver 2","","","",""
"93121","2","18","Vito Durham","",RSA,"3524.715","319.99","34942.55","0","0",Bot,"Bot4777","1115","Gold 2","1085","Gold 1","","","",""
"93121","2","19","Vicente Silva","Nitro",BRA,"3524.961","320.236","34942.55","0","0",Bot,"Bot6037","846","Silver 2","850","Silver 2","","","",""
"93121","2","20","Jamila Pillai","",UAE,"3524.986","320.261","34942.55","0","0",Bot,"Bot2551","929","Silver 3","923","Silver 3","","","",""
"93121","2","21","Kate Collins","",AUS,"3525.478","320.753","34942.55","0","0",Bot,"Bot9757","944","Silver 3","926","Silver 3","","","",""
"93121","2","22","Emilie Boyer","Kumori",FRA,"3525.481","320.756","34942.55","0","0",Bot,"Bot8040","822","Silver 2","814","Silver 2","","","",""
"93121","2","23","Jerald Walters","",GBR,"3525.481","320.756","34942.55","0","0",Bot,"Bot1954","1039","Gold 1","1032","Gold 1","","","",""
"93121","2","24","Christian Ek","",SWE,"3525.495","320.77","34942.55","0","0",Bot,"Bot8260","1007","Gold 1","995","Silver 3","","","",""
"93121","2","25","Joseph Kramer","",GER,"3525.499","320.775","34942.55","0","0",Bot,"Bot7362","1012","Gold 1","998","Silver 3","","","",""
"93121","2","26","Tyler Bradford","",AUS,"3525.977","321.252","34942.55","0","0",Bot,"Bot9470","930","Silver 3","919","Silver 3","","","",""
"93121","2","27","Rui Paiva","Aria Olefson",POR,"3525.994","321.27","34942.55","0","0",Bot,"Bot728","809","Silver 2","819","Silver 2","","","",""
"93121","2","28","Juan Medina","",USA,"3526.481","321.756","34942.55","0","0",Bot,"Bot3943","1008","Gold 1","1012","Gold 1","","","",""
"93121","2","29","Gennaro D'Angelo","eVOX",ITA,"3526.702","321.977","34942.55","0","0",Bot,"Bot6705","1019","Gold 1","1010","Gold 1","","","",""
"93121","2","30","Kordian Wr?blewski","",POL,"3526.733","322.009","34942.55","0","0",Bot,"Bot6242","803","Silver 2","800","Silver 2","","","",""
"93121","2","31","Tony Daniels","",AUS,"3527.202","322.477","34942.55","0","0",Bot,"Bot8272","812","Silver 2","837","Silver 2","","","",""
"93121","2","32","Maria L?fgren","",SWE,"3527.483","322.758","34942.55","0","0",Bot,"Bot1282","986","Silver 3","970","Silver 3","","","",""
"93121","2","33","Megumi Takata","Saitama",JPN,"3529.974","325.249","34942.55","0","0",Bot,"Bot6034","956","Silver 3","963","Silver 3","","","",""
"93121","2","34","Jieun Jegal","",KOR,"3569.242","364.517","34942.55","0","0",Bot,"Bot4887","796","Silver 1","789","Silver 1","","","",""
"93121","2","35","Zuhair Al-Naqbi","Ampex",UAE,"3589.997","385.272","34942.55","0","0",Bot,"Bot314","799","Silver 1","797","Silver 1","","","",""
"93121","2","36","Chester Rosas","Nuvio",NZL,"3596.461","391.737","34942.55","0","0",Bot,"Bot7506","823","Silver 2","837","Silver 2","","","",""
"93121","2","37","Fanqia Fung","",CHN,"3612.966","408.241","34942.55","0","0",Bot,"Bot8693","808","Silver 2","806","Silver 2","","","",""
"93121","2","38","Salvatore Perrone","",ITA,"3616.497","411.772","34942.55","0","0",Bot,"Bot4149","1120","Gold 2","1076","Gold 1","","","",""
"93121","2","39","Tonny Persson","",DEN,"3636.998","432.274","34942.55","0","0",Bot,"Bot369","804","Silver 2","821","Silver 2","","","",""
"93121","2","40","Paulo Viegas","Saint",POR,"3647.479","442.754","34942.55","0","0",Bot,"Bot2132","938","Silver 3","958","Silver 3","","","",""
"93121","2","41","Steven Nair","Capital",UAE,"3691.227","486.502","34942.55","0","0",Bot,"Bot8324","921","Silver 3","894","Silver 2","","","",""
"93121","2","42","Arata ?no","AI Thunder",JPN,"3729.988","525.264","34942.55","0","0",Bot,"Bot9000","1000","Gold 1","989","Silver 3","","","",""
"93121","2",DNF,"Alejandro Urena","",ESP,"106","0","953.393","0","0",Male,"FE3DB5D555BF56F","100","Bronze 1","1079","Gold 1","45-49","","",""
"93121","2",DNF,"Brandi Anthony","Kumori",ENG,"3262.25","0","27654.113","0","0",Bot,"Bot4640","838","Silver 2","813","Silver 2","","","",""
"93121","2",DNF,"Andr?e Noel","",FRA,"3322.25","0","29134.021","0","0",Bot,"Bot3954","821","Silver 2","805","Silver 2","","","",""
"93121","2",DNF,"Seela Ahonen","",FIN,"3382.25","0","30270.078","0","0",Bot,"Bot3189","939","Silver 3","925","Silver 3","","","",""
"93121","2",DNF,"Bertil Bj?rk","",SWE,"3442.25","0","30946.3","0","0",Bot,"Bot8662","845","Silver 2","839","Silver 2","","","",""
"93121","2",DNF,"Timo Jung","",GER,"3502.25","0","31609.843","0","0",Bot,"Bot1190","949","Silver 3","913","Silver 3","","","",""
"93121","2",DNF,"Henry Gibson","",BAH,"3562.25","0","32792.394","0","0",Bot,"Bot2871","869","Silver 2","862","Silver 2","","","",""
